Dataset,PEAB (s),Anchor (s),MinExp (s),Speedup vs Anchor,Speedup vs MinExp
breast_cancer,0.0063,0.9213,1.2382,145.1x,195.0x
pima_indians_diabetes,0.0077,0.0588,0.3132,7.7x,40.9x
sonar,0.0169,1.4411,3.4145,85.2x,202.0x
vertebral_column,0.0064,0.0504,0.2455,7.9x,38.6x
wine,0.0089,0.0447,0.5109,5.0x,57.4x
banknote,0.0083,0.0264,0.1386,3.2x,16.6x
heart_disease,0.0066,0.0921,0.4560,14.1x,69.5x
wine_quality,0.0050,0.0364,0.3994,7.2x,79.3x
spambase,0.0156,0.4656,2.6184,29.9x,168.0x
